"mdl","TN","TP","FP","FN","ner"
"lrs",7691,8,309,15,500
"lrsq",7597,12,403,11,500
"lrp",7651,10,349,13,500
"knn",7748,21,252,2,500
"nb",7730,16,270,7,500
"rfs",7871,20,129,3,500
"rfsq",7842,16,158,7,500
"rfp",7853,19,147,4,500
"rfpp",7858,15,142,8,500
"max",7132,22,868,1,500
"avg",7851,17,149,6,500
"lrs",7854,2,146,21,600
"lrsq",7538,13,462,10,600
"lrp",7734,8,266,15,600
"knn",7712,21,288,2,600
"nb",7810,13,190,10,600
"rfs",7878,19,122,4,600
"rfsq",7867,15,133,8,600
"rfp",7860,17,140,6,600
"rfpp",7864,13,136,10,600
"max",7156,22,844,1,600
"avg",7878,15,122,8,600
"lrs",7947,0,53,23,700
"lrsq",7806,4,194,19,700
"lrp",7612,10,388,13,700
"knn",7807,20,193,3,700
"nb",7838,12,162,11,700
"rfs",7938,18,62,5,700
"rfsq",7892,17,108,6,700
"rfp",7920,20,80,3,700
"rfpp",7896,13,104,10,700
"max",7334,21,666,2,700
"avg",7934,17,66,6,700
"lrs",7929,0,71,23,800
"lrsq",7805,6,195,17,800
"lrp",7821,3,179,20,800
"knn",7863,19,137,4,800
"nb",7842,10,158,13,800
"rfs",7918,18,82,5,800
"rfsq",7905,15,95,8,800
"rfp",7904,17,96,6,800
"rfpp",7923,13,77,10,800
"max",7479,22,521,1,800
"avg",7930,12,70,11,800
"lrs",7980,0,20,23,900
"lrsq",7787,9,213,14,900
"lrp",7919,0,81,23,900
"knn",7840,18,160,5,900
"nb",7891,10,109,13,900
"rfs",7900,18,100,5,900
"rfsq",7901,17,99,6,900
"rfp",7904,18,96,5,900
"rfpp",7900,10,100,13,900
"max",7547,22,453,1,900
"avg",7925,11,75,12,900
"lrs",7984,0,16,23,1000
"lrsq",7602,11,398,12,1000
"lrp",7927,0,73,23,1000
"knn",7869,18,131,5,1000
"nb",7927,9,73,14,1000
"rfs",7937,16,63,7,1000
"rfsq",7926,14,74,9,1000
"rfp",7937,16,63,7,1000
"rfpp",7942,11,58,12,1000
"max",7477,22,523,1,1000
"avg",7955,10,45,13,1000
"lrs",7992,0,8,23,1100
"lrsq",7807,3,193,20,1100
"lrp",7867,2,133,21,1100
"knn",7887,17,113,6,1100
"nb",7963,8,37,15,1100
"rfs",7948,16,52,7,1100
"rfsq",7947,14,53,9,1100
"rfp",7950,17,50,6,1100
"rfpp",7939,12,61,11,1100
"max",7629,21,371,2,1100
"avg",7963,10,37,13,1100
"lrs",7944,0,56,23,1200
"lrsq",7768,10,232,13,1200
"lrp",7925,2,75,21,1200
"knn",7923,17,77,6,1200
"nb",7977,7,23,16,1200
"rfs",7928,18,72,5,1200
"rfsq",7927,16,73,7,1200
"rfp",7933,17,67,6,1200
"rfpp",7926,12,74,11,1200
"max",7643,22,357,1,1200
"avg",7960,11,40,12,1200
"lrs",7991,0,9,23,1300
"lrsq",7703,1,297,22,1300
"lrp",7964,0,36,23,1300
"knn",7909,17,91,6,1300
"nb",7965,7,35,16,1300
"rfs",7968,15,32,8,1300
"rfsq",7958,14,42,9,1300
"rfp",7957,18,43,5,1300
"rfpp",7923,10,77,13,1300
"max",7569,20,431,3,1300
"avg",7974,8,26,15,1300
"lrs",7991,0,9,23,1400
"lrsq",7939,0,61,23,1400
"lrp",4596,6,3404,17,1400
"knn",7900,17,100,6,1400
"nb",7980,7,20,16,1400
"rfs",7964,16,36,7,1400
"rfsq",7966,12,34,11,1400
"rfp",7963,13,37,10,1400
"rfpp",7951,10,49,13,1400
"max",4419,21,3581,2,1400
"avg",7990,8,10,15,1400
"lrs",7993,0,7,23,1500
"lrsq",7928,1,72,22,1500
"lrp",6612,12,1388,11,1500
"knn",7932,14,68,9,1500
"nb",7992,5,8,18,1500
"rfs",7976,14,24,9,1500
"rfsq",7968,10,32,13,1500
"rfp",7952,13,48,10,1500
"rfpp",7951,11,49,12,1500
"max",6543,19,1457,4,1500
"avg",7976,9,24,14,1500
"lrs",7998,0,2,23,1600
"lrsq",7908,3,92,20,1600
"lrp",6922,4,1078,19,1600
"knn",7949,15,51,8,1600
"nb",7998,5,2,18,1600
"rfs",7957,15,43,8,1600
"rfsq",7953,13,47,10,1600
"rfp",7953,15,47,8,1600
"rfpp",7934,10,66,13,1600
"max",6754,20,1246,3,1600
"avg",7979,7,21,16,1600
"lrs",7998,0,2,23,1700
"lrsq",7943,1,57,22,1700
"lrp",6578,12,1422,11,1700
"knn",7931,16,69,7,1700
"nb",7998,4,2,19,1700
"rfs",7953,16,47,7,1700
"rfsq",7965,13,35,10,1700
"rfp",7957,16,43,7,1700
"rfpp",7940,9,60,14,1700
"max",6505,22,1495,1,1700
"avg",7981,8,19,15,1700
"lrs",7991,0,9,23,1800
"lrsq",5363,17,2637,6,1800
"lrp",5607,7,2393,16,1800
"knn",7934,15,66,8,1800
"nb",7999,4,1,19,1800
"rfs",7966,14,34,9,1800
"rfsq",7956,12,44,11,1800
"rfp",7967,15,33,8,1800
"rfpp",7960,9,40,14,1800
"max",4210,23,3790,0,1800
"avg",7976,10,24,13,1800
"lrs",7997,0,3,23,1900
"lrsq",7881,0,119,23,1900
"lrp",6850,3,1150,20,1900
"knn",7938,16,62,7,1900
"nb",7998,4,2,19,1900
"rfs",7964,14,36,9,1900
"rfsq",7970,13,30,10,1900
"rfp",7976,13,24,10,1900
"rfpp",7964,9,36,14,1900
"max",6697,21,1303,2,1900
"avg",7990,7,10,16,1900
"lrs",7998,0,2,23,2000
"lrsq",7977,1,23,22,2000
"lrp",7988,0,12,23,2000
"knn",7960,14,40,9,2000
"nb",8000,0,0,23,2000
"rfs",7991,14,9,9,2000
"rfsq",7981,10,19,13,2000
"rfp",7983,10,17,13,2000
"rfpp",7967,8,33,15,2000
"max",7901,18,99,5,2000
"avg",7996,5,4,18,2000
"lrs",7998,0,2,23,2100
"lrsq",7905,0,95,23,2100
"lrp",8000,0,0,23,2100
"knn",7964,14,36,9,2100
"nb",7999,0,1,23,2100
"rfs",7987,13,13,10,2100
"rfsq",7978,12,22,11,2100
"rfp",7982,11,18,12,2100
"rfpp",7959,9,41,14,2100
"max",7838,18,162,5,2100
"avg",7996,5,4,18,2100
"lrs",7991,0,9,23,2200
"lrsq",7927,2,73,21,2200
"lrp",7997,0,3,23,2200
"knn",7964,13,36,10,2200
"nb",8000,0,0,23,2200
"rfs",7983,11,17,12,2200
"rfsq",7967,13,33,10,2200
"rfp",7967,12,33,11,2200
"rfpp",7953,8,47,15,2200
"max",7854,19,146,4,2200
"avg",7992,5,8,18,2200
"lrs",7998,0,2,23,2300
"lrsq",7976,2,24,21,2300
"lrp",4176,18,3824,5,2300
"knn",7943,16,57,7,2300
"nb",8000,0,0,23,2300
"rfs",7987,13,13,10,2300
"rfsq",7957,9,43,14,2300
"rfp",7977,11,23,12,2300
"rfpp",7954,9,46,14,2300
"max",4116,22,3884,1,2300
"avg",7994,8,6,15,2300
"lrs",7998,0,2,23,2400
"lrsq",7820,8,180,15,2400
"lrp",7988,0,12,23,2400
"knn",7976,13,24,10,2400
"nb",8000,0,0,23,2400
"rfs",7982,11,18,12,2400
"rfsq",7983,9,17,14,2400
"rfp",7986,11,14,12,2400
"rfpp",7980,7,20,16,2400
"max",7780,17,220,6,2400
"avg",7997,7,3,16,2400
"lrs",7998,0,2,23,2500
"lrsq",7942,0,58,23,2500
"lrp",7995,0,5,23,2500
"knn",7945,14,55,9,2500
"nb",8000,0,0,23,2500
"rfs",7982,11,18,12,2500
"rfsq",7971,11,29,12,2500
"rfp",7973,11,27,12,2500
"rfpp",7958,8,42,15,2500
"max",7850,19,150,4,2500
"avg",7995,4,5,19,2500
